terrain,variant,n_seeds,coverage_mean_pct,coverage_std_pct,path_length_mean_m,path_length_std_m,reward_mean,conflict_rate_mean,conflict_rate_std,conflict_events_total,pair_steps_total,conflict_rate_pooled,conflict_rate_ci95_low,conflict_rate_ci95_high,eval_episodes_total,episodes_with_any_conflict,share_episodes_with_conflict,max_events_in_one_episode,event_counts_integral
mountain,w/o Transformer,5,64.1778,2.6815,8242.18,946.57,58.029,0.00114286,0.00128483,60,52500,0.00114286,0.00087212,0.00147108,100,5,0.05,22,True
mountain,w/o Attention,5,60.1484,2.96,14434.83,2624.1,49.8466,0.0055619,0.00472538,292,52500,0.0055619,0.00494219,0.00623783,100,26,0.26,32,True
mountain,w/o CTDE,5,63.8437,2.8309,7562.25,1592.09,57.3313,0.002,0.00221825,105,52500,0.002,0.0016358,0.00242112,100,10,0.1,35,True
mountain,w/o Safety Layer,5,58.9452,8.8706,13798.44,3310.98,48.4188,0.00954286,0.00924531,501,52500,0.00954286,0.00872542,0.01041625,100,34,0.34,52,True
plain,w/o Transformer,5,63.9706,4.127,8717.69,2119.22,57.7059,0.00180952,0.00167549,95,52500,0.00180952,0.00146401,0.00221205,100,7,0.07,35,True
plain,w/o Attention,5,61.8548,3.02,14121.71,3030.28,50.3628,0.00457143,0.00173924,240,52500,0.00457143,0.00401132,0.00518786,100,18,0.18,23,True
plain,w/o CTDE,5,61.1127,5.5931,8251.44,3036.86,55.4003,0.00190476,0.00140133,100,52500,0.00190476,0.00154979,0.0023167,100,7,0.07,35,True
plain,w/o Safety Layer,5,64.1095,3.1097,14479.63,2055.79,54.3937,0.00624762,0.00270935,328,52500,0.00624762,0.00558971,0.00696168,100,33,0.33,29,True
urban,w/o Transformer,5,63.0611,2.53,8664.75,1575.61,54.6356,0.00424762,0.00400657,223,52500,0.00424762,0.00370838,0.00484323,100,14,0.14,35,True
urban,w/o Attention,5,60.0238,3.476,13873.82,1505.51,48.089,0.00780952,0.0053052,410,52500,0.00780952,0.00707179,0.0086033,100,27,0.27,50,True
urban,w/o CTDE,5,59.7778,4.8796,8010.35,1784.54,52.2351,0.00331429,0.00232252,174,52500,0.00331429,0.00284012,0.00384498,100,10,0.1,35,True
urban,w/o Safety Layer,5,59.1024,4.6319,12660.76,1595.06,48.1207,0.008,0.00431787,420,52500,0.008,0.00725311,0.00880293,100,28,0.28,59,True
