scenario,num_uavs,seed,episode,episode_coverage,episode_conflict_sim,episode_conflict_recomputed_120,conflict_events_120,pair_steps,episode_path,corrections,uav_steps,accepted,cva,fallback_nearest,raw_released,max_empty_streak,n_empty_streaks_ge2
plain,4,42,0,90.0,0.0,0.0,0,210,18185.46484375,0,140,140,0,0,0,0,0
plain,4,42,1,91.11111111111111,0.0,0.0,0,210,18212.4453125,0,140,140,0,0,0,0,0
plain,4,42,2,91.11111111111111,0.0,0.0,0,210,18338.9375,0,140,140,0,0,0,0,0
plain,4,42,3,100.0,0.0,0.0,0,156,13778.64453125,0,140,104,0,0,0,0,0
plain,4,42,4,100.0,0.0,0.0,0,162,14160.587890625,0,140,108,0,0,0,0,0
plain,4,42,5,96.66666666666667,0.0,0.0,0,210,18102.7109375,0,140,140,0,0,0,0,0
plain,4,42,6,95.55555555555556,0.0,0.0,0,210,18427.375,0,140,140,0,0,0,0,0
plain,4,42,7,100.0,0.0,0.0,0,198,17130.4609375,0,140,132,0,0,0,0,0
plain,4,42,8,97.77777777777777,0.0,0.0,0,210,18354.60546875,0,140,140,0,0,0,0,0
plain,4,42,9,100.0,0.0,0.0,0,210,18458.4921875,0,140,140,0,0,0,0,0
plain,4,42,10,98.33333333333333,0.0,0.0,0,210,17877.611328125,0,140,140,0,0,0,0,0
plain,4,42,11,100.0,0.0,0.0,0,198,17197.25,0,140,132,0,0,0,0,0
plain,4,43,0,94.28571428571428,0.0,0.0,0,210,18089.1484375,16,140,124,12,4,0,1,0
plain,4,43,1,100.0,0.0,0.0,0,198,17202.71484375,4,140,128,4,0,0,0,0
plain,4,43,2,100.0,0.0,0.0,0,210,18365.73046875,0,140,140,0,0,0,0,0
plain,4,43,3,100.0,0.0,0.0,0,210,17943.1640625,0,140,140,0,0,0,0,0
plain,4,43,4,97.77777777777777,0.0,0.0,0,210,17850.857421875,0,140,140,0,0,0,0,0
plain,4,43,5,100.0,0.0,0.0,0,96,8569.30859375,0,140,64,0,0,0,0,0
plain,4,43,6,98.33333333333333,0.0,0.0,0,210,18308.826171875,4,140,136,4,0,0,0,0
plain,4,43,7,100.0,0.0,0.0,0,180,15737.2001953125,0,140,120,0,0,0,0,0
plain,4,43,8,97.14285714285714,0.0,0.0,0,210,18342.16015625,0,140,140,0,0,0,0,0
plain,4,43,9,86.66666666666667,0.0,0.0,0,210,18142.5625,0,140,140,0,0,0,0,0
plain,4,43,10,76.66666666666667,0.0,0.0,0,210,18737.71484375,6,140,134,6,0,0,0,0
plain,4,43,11,93.33333333333333,0.0,0.0,0,210,18371.51171875,0,140,140,0,0,0,0,0
plain,4,44,0,100.0,0.0,0.0,0,180,15590.0068359375,0,140,120,0,0,0,0,0
plain,4,44,1,85.71428571428571,0.0,0.0,0,210,18548.279296875,0,140,140,0,0,0,0,0
plain,4,44,2,88.88888888888889,0.0,0.0,0,210,18478.91015625,0,140,140,0,0,0,0,0
plain,4,44,3,95.0,0.0,0.0,0,210,18072.927734375,0,140,140,0,0,0,0,0
plain,4,44,4,91.66666666666666,0.0,0.0,0,210,18377.85546875,0,140,140,0,0,0,0,0
plain,4,44,5,88.57142857142857,0.0,0.0,0,210,18389.28125,10,140,130,10,0,0,0,0
plain,4,44,6,100.0,0.004901960784313725,0.004901960784313725,1,204,17590.11328125,4,140,132,0,4,0,2,2
plain,4,44,7,100.0,0.0,0.0,0,174,15277.3740234375,0,140,116,0,0,0,0,0
plain,4,44,8,100.0,0.0,0.0,0,168,14568.9384765625,0,140,112,0,0,0,0,0
plain,4,44,9,100.0,0.0,0.0,0,192,16642.4375,0,140,128,0,0,0,0,0
plain,4,44,10,95.55555555555556,0.0,0.0,0,210,18231.5546875,0,140,140,0,0,0,0,0
plain,4,44,11,97.77777777777777,0.0,0.0,0,210,18128.765625,0,140,140,0,0,0,0,0
plain,4,45,0,100.0,0.0,0.0,0,210,18155.904296875,0,140,140,0,0,0,0,0
plain,4,45,1,97.14285714285714,0.0,0.0,0,210,17912.380859375,0,140,140,0,0,0,0,0
plain,4,45,2,96.66666666666667,0.0,0.0,0,210,18167.974609375,0,140,140,0,0,0,0,0
plain,4,45,3,95.0,0.0,0.0,0,210,18066.0546875,0,140,140,0,0,0,0,0
plain,4,45,4,100.0,0.0,0.0,0,132,11757.2001953125,0,140,88,0,0,0,0,0
plain,4,45,5,97.77777777777777,0.0,0.0,0,210,18052.6328125,0,140,140,0,0,0,0,0
plain,4,45,6,100.0,0.0,0.0,0,186,16237.958984375,0,140,124,0,0,0,0,0
plain,4,45,7,100.0,0.0,0.0,0,210,18040.796875,0,140,140,0,0,0,0,0
plain,4,45,8,100.0,0.0,0.0,0,210,18475.158203125,0,140,140,0,0,0,0,0
plain,4,45,9,91.42857142857143,0.0,0.0,0,210,18203.376953125,0,140,140,0,0,0,0,0
plain,4,45,10,96.66666666666667,0.0,0.0,0,210,18387.90625,0,140,140,0,0,0,0,0
plain,4,45,11,97.14285714285714,0.0,0.0,0,210,18330.5859375,0,140,140,0,0,0,0,0
plain,4,46,0,98.33333333333333,0.0,0.0,0,210,18232.640625,0,140,140,0,0,0,0,0
plain,4,46,1,100.0,0.0,0.0,0,186,16104.505859375,0,140,124,0,0,0,0,0
plain,4,46,2,68.57142857142857,0.0,0.0,0,210,18482.935546875,0,140,140,0,0,0,0,0
