scenario,num_uavs,episodes,uav_steps,cva_empty_total,cva_empty_rate_pct,fallback_nearest,fallback_nearest_rate_pct,raw_released,raw_released_rate_pct,episodes_with_any_raw_release,max_consecutive_empty_steps,n_consecutive_empty_runs_ge2,mean_conflict_rate,conflict_events_120_total,mean_coverage
plain,4,60,8400,10,0.11905,10,0.11905,0,0.0,0,2,2,8.17e-05,1,95.6349
plain,6,60,12600,34,0.26984,10,0.07937,24,0.19048,1,24,1,0.0,0,99.5053
plain,8,60,16800,13,0.07738,12,0.07143,1,0.00595,1,2,2,0.0,0,99.9444
urban,4,60,8400,2,0.02381,0,0.0,2,0.02381,1,2,1,0.0,0,95.2447
urban,6,60,12600,6,0.04762,6,0.04762,0,0.0,0,1,0,0.0,0,99.8611
urban,8,60,16800,8,0.04762,7,0.04167,1,0.00595,1,1,0,0.0,0,99.8889
mountain,4,60,8400,19,0.22619,19,0.22619,0,0.0,0,2,2,0.0,0,93.5304
mountain,6,60,12600,39,0.30952,5,0.03968,34,0.26984,2,33,1,0.0,0,99.6058
mountain,8,60,16800,36,0.21429,13,0.07738,23,0.1369,2,10,5,0.00017007,10,99.3981
mountain-dense,4,60,8400,2,0.02381,1,0.0119,1,0.0119,1,1,0,0.0,0,93.4524
mountain-dense,6,60,12600,23,0.18254,19,0.15079,4,0.03175,2,2,4,3.268e-05,1,99.2421
mountain-dense,8,60,16800,48,0.28571,23,0.1369,25,0.14881,3,22,4,0.0,0,99.7209
